key_resp_13.keys,key_resp_13.rt,key_resp.keys,key_resp.rt,key_resp_10.keys,key_resp_10.rt,slider_2.response,slider_2.rt,NVScal.thisRepN,NVScal.thisTrialN,NVScal.thisN,NVScal.thisIndex,NVScal.ran,msg,Echelle,Prolific ID*,Age*,First Name*,Gender (Male/Female/Other)*,date,expName,psychopyVersion,OS,frameRate,participant,id,session,researcher,key_resp_11.keys,key_resp_11.rt,slider_3.response,slider_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,category,EMOTION,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,entrainement,repcorr,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,cible,type,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt
,,,,,,2.810699588,1.331825,0,16,16,3,1,High-Status,NGS,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3.106995885,2.00344,0,17,17,14,1,Insecure,NVS,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,When something painful happens I try to take a balanced view of the situation,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,space,5.62704,3.942386831,3.34853,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"When I feel inadequate in some way, I try to remind myself that feelings of inadequacy are shared by most people.",,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,4.172839506,4.11489,0,1,1,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"When I fail at something that’s important to me, I tend to feel alone in my failure.",,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,3.444444444,4.75718,0,2,2,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,I try to be understanding and patient towards those aspects of my personality I don’t like.,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,4.271604938,4.187045,0,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,When I fail at something important to me I become consumed by feelings of inadequacy.,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,4.41563786,3.341755,0,4,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"When I’m going through a very hard time, I give myself the caring and tenderness I need.",,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,3.399176955,5.28801,0,5,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,When something upsets me I try to keep my emotions in balance.,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,2.794238683,3.33832,0,6,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,I try to see my failings as part of the human condition.,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,3.58436214,1.99682,0,7,7,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,When I’m feeling down I tend to obsess and fixate on everything that’s wrong.,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,3.975308642,3.948455,0,8,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,I’m disapproving and judgmental about my own flaws and inadequacies.,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,3.242798354,3.6226,0,9,9,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,I’m intolerant and impatient towards those aspects of my personality I don’t like.,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,2.724279835,8.81607,0,10,10,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"When I’m feeling down, I tend to feel like most other people are probably happier than I am.",,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,3.897119342,3.13143,0,11,11,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"After realizing you have received too much change at a store, you decide to keep it because the salesclerk doesn't notice. What is the likelihood that you would feel uncomfortable about keeping the money?",,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,space,7.929725,6.947048611,7.63448,0,0,0,0,1,NBE,GUILT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Your home is very messy and unexpected guests knock on your door and invite themselves in. What is the likelihood that you would avoid the guests until they leave? ,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,2.901909722,7.681375,0,1,1,7,1,SW,SHAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,You give a bad presentation at work. Afterwards your boss tells your coworkers it was your fault that your company lost the contract. What is the likelihood that you would feel incompetent?,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,5.940104167,6.396295,0,2,2,5,1,NSE,SHAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"You make a mistake at work and find out a coworker is blamed for the error. Later, your coworker confronts you about your mistake. What is the likelihood that you would feel like a coward? ",,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,3.965277778,11.777485,0,3,3,12,1,NSE,SHAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,You take office supplies home for personal use and are caught by your boss. What is the likelihood that this would lead you to quit your job?,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,2.033854167,6.86766,0,4,4,11,1,SW,SHAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"You strongly defend a point of view in a discussion, and though nobody was aware of it, you realize that you were wrong. What is the likelihood that this would make you think more carefully before you speak?",,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,4.894097222,11.860725,0,5,5,10,1,GR,GUILT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"At a coworker’s housewarming party, you spill red wine on their new cream‐ colored carpet. You cover the stain with a chair so that nobody notices your mess. What is the likelihood that you would feel that the way you acted was pathetic?",,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,6.743055556,8.287255,0,6,6,13,1,NBE,GUILT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,You lie to people but they never find out about it. What is the likelihood that you would feel terrible about the lies you told?,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,5.028645833,4.4007,0,7,7,15,1,NBE,GUILT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,You secretly commit a felony. What is the likelihood that you would feel remorse about breaking the law?,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,6.157118056,3.18272,0,8,8,8,1,NBE,GUILT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"You successfully exaggerate your damages in a lawsuit. Months later, your lies are discovered and you are charged with perjury. What is the likelihood that you would think you are a despicable human being?",,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,6.934027778,5.760525,0,9,9,9,1,NSE,SHAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,You are privately informed that you are the only one in your group that did not make the honor society because you skipped too many days of school. What is the likelihood that this would lead you to become more responsible about attending school?,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,6.048611111,6.736545,0,10,10,1,1,GR,GUILT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"After making a big mistake on an important project at work in which people were depending on you, your boss criticizes you in front of your coworkers. What is the likelihood that you would feign sickness and leave work?",,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,3.913194444,6.73633,0,11,11,3,1,SW,SHAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"While discussing a heated subject with friends, you suddenly realize you are shouting though nobody seems to notice. What is the likelihood that you would try to act more considerately toward your friends?",,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,4.855034722,6.604425,0,12,12,14,1,GR,GUILT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,A friend tells you that you boast a great deal. What is the likelihood that you would stop spending time with that friend?,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,2.28125,5.333625,0,13,13,6,1,SW,SHAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"You reveal a friend’s secret, though your friend never finds out. What is the likelihood that your failure to keep the secret would lead you to exert extra effort to keep secrets in the future?",,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,4.9375,5.166545,0,14,14,4,1,GR,GUILT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,You rip an article out of a journal in the library and take it with you. Your teacher discovers what you did and tells the librarian and your entire class. What is the likelihood that this would make you would feel like a bad person?,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,5.905381944,9.16243,0,15,15,2,1,NSE,SHAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,space,13.808485,space,11.391535,q,1,0.749385,0,0,0,10,1,PEPAR,q,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.650075,0,1,1,11,1,TBALE,q,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,1,0.42949,0,2,2,7,1,GLASS,p,,,,,,,,,,,,,,,,
